,Unnamed: 0,acousticness,danceability,energy,instrumentalness,key,livenepathsss,loudness,mode,speechiness,tempo,time_signature,Unnamed: 0,title,artist,paths,emotion
0,0,0.0008820000000000001,0.6459999999999999,0.8320000000000001,0.000251,7,0.138,-7.682,1,0.0309,121.00299999999999,4,0,['One Way Street'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/02 One Way Street.mp3,2
1,1,0.0563,0.71,0.8,0.0,5,0.0834,-3.4389999999999996,0,0.0339,93.01,4,1,['One More Night'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/01 - One More Night (www.SongsLover.pk).mp3,2
2,2,0.0204,0.486,0.7440000000000001,0.00298,6,0.11199999999999999,-7.176,1,0.0404,132.446,4,2,"[""Knockin' On Heaven's Door""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/05.Knockin' On Heaven's Door.mp3,2
3,3,0.0132,0.42100000000000004,0.8220000000000001,0.0,2,0.092,-4.415,1,0.0542,171.935,4,3,['Summer Paradise'],['Simple Plan'],/home/dhanush/Music/MusicClassify/happy/08-Summer Paradise (Feat. K'naan).mp3,2
4,4,0.17600000000000002,0.752,0.883,0.0,6,0.204,-4.042,1,0.131,123.87100000000001,4,4,['Turn Up the Love'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/04 Turn Up the Love (www.SongsLover.com).mp3,2
5,5,0.0183,0.575,0.88,0.0,0,0.379,-1.861,1,0.0579,127.882,4,5,['Never Leave'],['DVBBS'],/home/dhanush/Music/MusicClassify/happy/DVBBS - Never Leave (Official Music Video).mp3,2
6,6,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,6,['Outside ft. Ellie Goulding (Savagez Remix)'],['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Outside ft. Ellie Goulding (Savagez Remix).mp3,2
7,7,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,7,['Wild Woman'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/12 Wild Woman.mp3,2
8,8,0.0282,0.6709999999999999,0.9159999999999999,0.00762,6,0.24,-4.013999999999999,0,0.0397,126.01,4,8,['No Money'],['Galantis'],/home/dhanush/Music/MusicClassify/happy/Galantis – No Money (Original Mix).mp3,2
9,9,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9,['Never Been To Spain'],['Jessica Hart'],/home/dhanush/Music/MusicClassify/happy/Jessica Hart - Never Been To Spain.mp3,2
10,10,0.0613,0.337,0.552,0.0,0,0.183,-5.507999999999999,0,0.0387,137.031,4,10,['Steal Your Heart (Culture Code Remix)'],['BRKLYN'],/home/dhanush/Music/MusicClassify/happy/BRKLYN - Steal Your Heart (Culture Code Remix).mp3,2
11,11,0.0267,0.802,0.8059999999999999,0.0,5,0.071,-2.779,1,0.0636,140.017,4,11,"[""Until You're Over Me""]",['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Until You're Over Me.mp3,2
12,12,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,12,['Cold Water (feat. Justin Bieber & MØ)'],['Major Lazer'],/home/dhanush/Music/MusicClassify/happy/Cold Water (feat. Justin Bieber & MØ).mp3,2
13,13,0.0292,0.662,0.873,0.0,0,0.22399999999999998,-3.116,0,0.0395,129.90200000000002,4,13,['Where Them Girls At - Feat. Flo Rida & Nicki Minaj'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Where Them Girls At (feat. Flo Rida and Nicki Minaj).mp3,2
14,14,0.05,0.534,0.711,0.0031,10,0.135,-5.9270000000000005,0,0.0368,128.102,4,14,['Forbidden Voices'],['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Forbidden Voices.mp3,2
15,15,0.0038,0.63,0.753,0.0,1,0.191,-4.621,0,0.0305,123.964,4,15,['Love'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/08 Love.mp3,2
