,artist,paths,title,emotion
0,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Parallels.mp3,['Parallels'],1
1,['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Lord Abortion.mp3,['Lord Abortion'],1
2,['A Day To Remember'],/home/dhanush/Music/MusicClassify/anger/The Danger In Starting A Fire.mp3,['The Danger In Starting A Fire'],1
3,['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Last To Know.mp3,['Last To Know'],1
4,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Anger And Apathy.mp3,['Anger And Apathy'],1
5,['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/Hand of Blood.mp3,['Hand of Blood'],1
6,['Skillet'],/home/dhanush/Music/MusicClassify/anger/Skillet - Hero.mp3,['Hero'],1
7,['Evanescence'],/home/dhanush/Music/MusicClassify/anger/03 The Change.mp3,['The Change'],1
8,['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/Cries in Vain.mp3,['Cries in Vain'],1
9,['Ice Cube'],/home/dhanush/Music/MusicClassify/anger/Ice Cube - Too West Coast (ft. WC & Maylay).mp3,['Too West Coast (ft. WC & Maylay)'],1
10,['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Punch Me I Bleed.mp3,['Punch Me I Bleed'],1
11,['Avenged Sevenfold'],"/home/dhanush/Music/MusicClassify/anger/I Won't See You Tonight, Pt. 2.mp3","[""I Won't See You Tonight, Pt. 2""]",1
12,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Unholy Confessions.mp3,['Unholy Confessions'],1
13,['Children Of Bodom'],/home/dhanush/Music/MusicClassify/anger/In Your Face.mp3,['In Your Face'],1
14,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Clairvoyant Disease.mp3,['Clairvoyant Disease'],1
15,['Cradle Of Filth'],/home/dhanush/Music/MusicClassify/anger/Hallowed Be Thy Name.mp3,['Hallowed Be Thy Name'],1
16,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/And All Things Will End.mp3,['And All Things Will End'],1
17,['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Oops!..I did it Again.mp3,['Oops I Did It Again!'],1
18,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Eternal Rest.mp3,['Eternal Rest'],1
19,['Eminem'],/home/dhanush/Music/MusicClassify/anger/06-eminem-going_through_changes.mp3,['Going Through Changes'],1
20,['Pendulum'],/home/dhanush/Music/MusicClassify/anger/03 Watercolour.mp3,['Watercolour'],1
21,['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/Sink Or Swim.mp3,['Sink or Swim'],1
22,['50 Cent'],/home/dhanush/Music/MusicClassify/anger/05 - Shooting Guns (www.SongsLover.com).mp3,['Shooting Guns'],1
