,Unnamed: 0,artist,paths,title,emotion
0,0,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/02 One Way Street.mp3,['One Way Street'],2
1,1,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/01 - One More Night (www.SongsLover.pk).mp3,['One More Night'],2
2,2,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/05.Knockin' On Heaven's Door.mp3,"[""Knockin' On Heaven's Door""]",2
3,3,['Simple Plan'],/home/dhanush/Music/MusicClassify/happy/08-Summer Paradise (Feat. K'naan).mp3,['Summer Paradise'],2
4,4,['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/04 Turn Up the Love (www.SongsLover.com).mp3,['Turn Up the Love'],2
5,5,['DVBBS'],/home/dhanush/Music/MusicClassify/happy/DVBBS - Never Leave (Official Music Video).mp3,['Never Leave'],2
6,6,['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Outside ft. Ellie Goulding (Savagez Remix).mp3,['Outside ft. Ellie Goulding (Savagez Remix)'],2
7,7,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/12 Wild Woman.mp3,['Wild Woman'],2
8,8,['Galantis'],/home/dhanush/Music/MusicClassify/happy/Galantis – No Money (Original Mix).mp3,['No Money'],2
9,9,['Jessica Hart'],/home/dhanush/Music/MusicClassify/happy/Jessica Hart - Never Been To Spain.mp3,['Never Been To Spain'],2
10,10,['BRKLYN'],/home/dhanush/Music/MusicClassify/happy/BRKLYN - Steal Your Heart (Culture Code Remix).mp3,['Steal Your Heart (Culture Code Remix)'],2
11,11,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Until You're Over Me.mp3,"[""Until You're Over Me""]",2
12,12,['Major Lazer'],/home/dhanush/Music/MusicClassify/happy/Cold Water (feat. Justin Bieber & MØ).mp3,['Cold Water (feat. Justin Bieber & MØ)'],2
13,13,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Where Them Girls At (feat. Flo Rida and Nicki Minaj).mp3,['Where Them Girls At - Feat. Flo Rida & Nicki Minaj'],2
14,14,['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Forbidden Voices.mp3,['Forbidden Voices'],2
15,15,['American Authors'],/home/dhanush/Music/MusicClassify/happy/08 Love.mp3,['Love'],2
16,16,['AC/DC'],/home/dhanush/Music/MusicClassify/happy/Shoot To Thrill.mp3,['Shoot To Thrill'],2
17,17,['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Feel You.mp3,['Feel You'],2
18,18,['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - I Wanna Know (feat. Nico & Vinz).mp3,['I Wanna Know (feat. Nico & Vin'],2
19,19,['Aron Chupa'],/home/dhanush/Music/MusicClassify/happy/Aron Chupa - Im An Albatraoz.mp3,"[""I'm An Albatraoz""]",2
20,20,['Jane XØ x Dannic'],/home/dhanush/Music/MusicClassify/happy/Jane XØ x Dannic - Undone.mp3,['Undone'],2
21,21,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/I Can Only Imagine (feat. Chris Brown and Lil Wayne).mp3,['I Can Only Imagine'],2
22,22,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/02.Sweet Child O' Mine.mp3,"[""Sweet Child O' Mine""]",2
23,23,['Cheat Codes & Kriss Kross Amsterdam'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Kriss Kross Amsterdam - Sex (Edit).mp3,['Sex'],2
24,24,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Turn Me On (feat. Nicki Minaj).mp3,['Turn Me On'],2
25,25,['ACDC'],/home/dhanush/Music/MusicClassify/happy/Back In Black.mp3,['Back In Black'],2
26,26,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Moves Like Jagger (feat. Christina Aguilera).mp3,['Moves Like Jagger (Feat. Christina Aguilera)'],2
27,27,['American Authors'],/home/dhanush/Music/MusicClassify/happy/10 Ghost.mp3,['Ghost'],2
28,28,['IZECOLD'],/home/dhanush/Music/MusicClassify/happy/IZECOLD - Close (feat. Molly Ann).mp3,['Close (feat. Molly Ann)'],2
29,29,['Coldplay'],/home/dhanush/Music/MusicClassify/happy/Every Tear Drop Is A Waterfall.mp3,['Every Tear Drop Is A Waterfall'],2
30,30,['Deorro & Chris Brown'],/home/dhanush/Music/MusicClassify/happy/Deorro X Chris Brown - Five More Hours.mp3,['Five More Hours'],2
31,31,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/01 Angel Eyes.mp3,['Angel Eyes'],2
32,32,['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Summer (Club Killers & Dropwizz Trap Remix).mp3,['Summer (Club Killers & Dropwizz Trap Remix)'],2
33,33,['Illenium'],/home/dhanush/Music/MusicClassify/happy/Illenium - Sleepwalker (feat. Joni Fatora).mp3,['Sleepwalker (feat. Joni Fatora)'],2
34,34,['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - A Dream.mp3,['A Dream'],2
35,35,['Afrojack'],/home/dhanush/Music/MusicClassify/happy/Afrojack Ft. Mike Taylor - SummerThing!.mp3,['SummerThing! (feat. Mike Taylor)'],2
36,36,['Coldplay'],/home/dhanush/Music/MusicClassify/happy/05. Adventure Of A Lifetime.mp3,['Adventure Of A Lifetime'],2
37,37,['Gryffin and Bipolar Sunshine'],/home/dhanush/Music/MusicClassify/happy/Gryffin and Bipolar Sunshine - Whole Heart.mp3,['Whole Heart'],2
38,38,['Diplo'],/home/dhanush/Music/MusicClassify/happy/Diplo - Set Me Free (feat. LIZ) [pleer.com].mp3,['Set Me Free (feat. LIZ)'],2
39,39,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Nothing Really Matters (feat. Will.i.am).mp3,['Nothing Really Matters'],2
40,40,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/01.Welcome To The Jungle.mp3,['Welcome To The Jungle'],2
41,41,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Night Of Your Life (feat. Jennifer Hudson).mp3,['Night Of Your Life'],2
42,42,['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/15 Like a G6 (www.SongsLover.com).mp3,['Like a G6'],2
43,43,['Kygo'],/home/dhanush/Music/MusicClassify/happy/30. Kygo - Firestone (Feat. Conrad).mp3,['Firestone'],2
44,44,['AC-DC'],/home/dhanush/Music/MusicClassify/happy/Highway To Hell.mp3,['Highway To Hell'],2
45,45,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/10 - Tickets (www.SongsLover.pk).mp3,['Tickets'],2
46,46,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/04.Paradise City.mp3,['Paradise City'],2
47,47,['American Authors'],/home/dhanush/Music/MusicClassify/happy/03 Best Day of My Life.mp3,['Best Day of My Life'],2
48,48,['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Now That I've Found You (feat. John & Michel).mp3,"[""Now That I've Found You (feat. John & Michel)""]",2
49,49,['Billie Eilish'],/home/dhanush/Music/MusicClassify/happy/Billie Eilish - Ocean Eyes (GOLDHOUSE Remix).mp3,['Ocean Eyes (GOLDHOUSE Remix)'],2
50,50,['Fais'],/home/dhanush/Music/MusicClassify/happy/Fais - Hey (feat. Afrojack).mp3,['Hey (feat. Afrojack)'],2
51,51,['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Ghosts.mp3,['Ghosts'],2
52,52,"['Dimitri Vegas, Moguai & Like Mike']","/home/dhanush/Music/MusicClassify/happy/Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix).mp3","['Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix)']",2
53,53,['GOLDHOUSE'],/home/dhanush/Music/MusicClassify/happy/GOLDHOUSE - On & On.mp3,['On & On'],2
54,54,['Train'],"/home/dhanush/Music/MusicClassify/happy/02  Train - Hey, Soul Sister.mp3","['Hey, Soul Sister']",2
55,55,['Dytone'],/home/dhanush/Music/MusicClassify/happy/Dytone - Never Wanna Leave (feat. Stevyn).mp3,['Never Wanna Leave (feat. Stevyn)'],2
56,56,['Diplo'],"/home/dhanush/Music/MusicClassify/happy/02 Revolution (feat. Imanos, Faustix & Kai).mp3","['Revolution (feat. Imanos, Faustix & Kai)']",2
57,57,['American Authors'],/home/dhanush/Music/MusicClassify/happy/01 Believer.mp3,['Believer'],2
58,58,['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/16 Rocketeer (feat. Ryan Tedder) (www.SongsLover.com).mp3,['Rocketeer'],2
59,59,['Calvin Harris & Disciples'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris & Disciples - How Deep Is Your Love (T-Mass & Ellusive Remix).mp3,['How Deep Is Your Love (T-Mass & Ellusive Remix)'],2
60,60,['Cheat Codes & Dante Klein [mp3-crazy.com]'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Dante Klein - Let Me Hold You (Turn Me On) (Original Mix) [pesnik.su].mp3,['Let Me Hold You (Turn Me On)'],2
61,61,['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - Take My Breath Away.mp3,['Take My Breath Away'],2
62,62,['Hardwell & Jason Derulo'],/home/dhanush/Music/MusicClassify/happy/Hardwell & Jason Derulo - Follow Me.mp3,['Follow Me'],2
63,63,['Far East Movement feat. The Cataracs'],/home/dhanush/Music/MusicClassify/happy/far east movement feat.The cataracs-Like a g6.mp3,['Like A G6'],2
64,64,['John Mayer'],/home/dhanush/Music/MusicClassify/happy/John Mayer - Heavier Things - 02 - Bigger Than My Body.mp3,['Bigger Than My Body'],2
65,65,['Illenium'],/home/dhanush/Music/MusicClassify/happy/01 Reverie (feat. King Deco).mp3,['Reverie (feat. King Deco)'],2
66,66,['Flo Rida'],/home/dhanush/Music/MusicClassify/happy/Flo Rida - GDFR (ft. Sage The Gemini and Lookas).mp3,"['GFDR (feat. Sage, The Gemini and Lookas)']",2
67,67,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Misery.mp3,['Misery'],2
68,68,['Avicii Ft. Zac Brown Band'],/home/dhanush/Music/MusicClassify/happy/Avicii Ft. Zac Brown Band - Broken Arrows .mp3,['Broken Arrows (CDQ)'],2
69,69,['Michael Learns to Rock'],/home/dhanush/Music/MusicClassify/happy/07 Someday.mp3,['Someday'],2
0,0,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/07 - Stop This Train.mp3,['Stop This Train'],3
1,1,['Blue'],/home/dhanush/Music/MusicClassify/sadness/You know u make me wanna!.mp3,['You Make Me Wanna'],3
2,2,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Yellow.mp3,['Yellow'],3
3,3,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Must Get Out.mp3,['Must Get Out'],3
4,4,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/She Will Be Loved.mp3,['She Will Be Loved'],3
5,5,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Better That We Break.mp3,['Better That We Break'],3
6,6,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith_ Amazing.mp3,['Amazing'],3
7,7,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Calling Out Your Name.mp3,['Calling Out Your Name'],3
8,8,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/12. Miracles.mp3,['Miracles'],3
9,9,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/04 Who Says.mp3,['Who Says'],3
10,10,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Coldplay - Fix You.mp3,['Fix You'],3
11,11,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/05 Nothing To Lose.mp3,['Nothing To Lose'],3
12,12,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 05 - Come Back To Bed.mp3,['Come Back To Bed'],3
13,13,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 10 - Wheel.mp3,['Wheel'],3
14,14,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/15 Paint My Love.mp3,['Paint My Love'],3
15,15,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Janie's got a gun.mp3,"[""Janie's got a gun""]",3
16,16,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith_ Angle.mp3,['Angle'],3
17,17,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/17 I'm Gonna Be Around.mp3,"[""I'm Gonna Be Around""]",3
18,18,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/The Hardest Part.mp3,['The Hardest Part'],3
19,19,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/1973.mp3,['1973'],3
20,20,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/08 War Of My Life.mp3,['War Of My Life'],3
21,21,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/sadness/08.Don't Cry (Original).mp3,"[""Don't Cry (Original)""]",3
22,22,['Michael Learns to Rock'],/home/dhanush/Music/MusicClassify/sadness/09 25 Minutes.mp3,['25 Minutes'],3
23,23,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/06 - Love Somebody (www.SongsLover.pk).mp3,['Love Somebody'],3
24,24,['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/drowning.mp3,['drowning'],3
25,25,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/01 Heartbreak Warfare.mp3,['Heartbreak Warfare'],3
26,26,['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/Backstreet Boys - This Is Us.mp3,['This Is Us'],3
27,27,['Eagles'],/home/dhanush/Music/MusicClassify/sadness/076 Lyin_ Eyes.mp3,"[""Lyin' Eyes""]",3
28,28,['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/show me the meaning of beeing lonely.mp3,['Show Me The Meaning Of Being L'],3
29,29,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/02 All We Ever Do Is Say Goodbye.mp3,['All We Ever Do Is Say Goodbye'],3
30,30,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/04 The Actor.mp3,['The Actor'],3
31,31,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/04. Everglow.mp3,['Everglow'],3
32,32,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Trouble.mp3,['Trouble'],3
33,33,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/12 - I'm Gonna Find Another You.mp3,"[""I'm Gonna Find Another You""]",3
34,34,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/10 Do You Know Me.mp3,['Do You Know Me'],3
35,35,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/If Time Is All I Have.mp3,['If Time Is All I Have'],3
36,36,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Nothing Last Forever.mp3,['Nothing Lasts Forever'],3
37,37,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/12 - Beautiful Goodbye (www.SongsLover.pk).mp3,['Beautiful Goodbye'],3
38,38,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Goodbye My Lover.mp3,['Goodbye My Lover'],3
39,39,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/08 - Slow Dancing In A Burning Room.mp3,['Slow Dancing In A Burning Room'],3
40,40,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/05 - The Man Who Never Lied (www.SongsLover.pk).mp3,['The Man Who Never Lied'],3
41,41,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Back At Your Door.mp3,['Back At Your Door'],3
42,42,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Secret.mp3,['Secret'],3
43,43,['Beyonce'],/home/dhanush/Music/MusicClassify/sadness/Beyonce-Halo.mp3,['Halo'],3
44,44,['Train'],/home/dhanush/Music/MusicClassify/sadness/04  Train - Parachute.mp3,['Parachute'],3
45,45,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Dream On.mp3,['Dream On'],3
46,46,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/You're Beautiful.mp3,"[""You're Beautiful""]",3
47,47,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/09 Edge Of Desire.mp3,['Edge Of Desire'],3
48,48,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Crazy.mp3,['Crazy'],3
49,49,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/06 Home To You.mp3,['Home To You'],3
50,50,['John Mayer'],"/home/dhanush/Music/MusicClassify/sadness/11 Friends, Lovers Or Nothing.mp3","['Friends, Lovers Or Nothing']",3
51,51,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Won't Go Home Without You.mp3,"[""Won't Go Home Without You""]",3
52,52,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/16 Take Me To Your Heart.mp3,['Take Me To Your Heart'],3
53,53,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/11 Out Of The Blue.mp3,['Out Of The Blue'],3
54,54,['Bad Meets Evil'],/home/dhanush/Music/MusicClassify/sadness/Bad Meets Evil-Lighters Ft.Bruno Mars.mp3,['Lighters'],3
55,55,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/04 - Gravity.mp3,['Gravity'],3
56,56,['David Guetta'],/home/dhanush/Music/MusicClassify/sadness/Without U (feat. Usher).mp3,['Without U'],3
57,57,['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/As long as you love me.mp3,['As Long As You Love Me'],3
58,58,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Best Laid Plans.mp3,['Best Laid Plans'],3
59,59,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Same Mistake.mp3,['Same Mistake'],3
60,60,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/sadness/09.November Rain.mp3,['November Rain'],3
61,61,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/03 - Daylight (www.SongsLover.pk).mp3,['Daylight'],3
62,62,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/11 - In Repair.mp3,['In Repair'],3
63,63,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/No Tears.mp3,['No Tears'],3
64,64,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/05 - The Heart Of Life.mp3,['The Heart Of Life'],3
65,65,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/06 Assassin.mp3,['Assassin'],3
66,66,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/11. Up&Up.mp3,['Up&Up'],3
67,67,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/10 - Dreaming With A Broken Heart.mp3,['Dreaming With A Broken Heart'],3
68,68,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/The Scientist.mp3,['The Scientist'],3
69,69,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/08 Sleeping Child.mp3,['Sleeping Child'],3
70,70,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/sadness/Buried Alive.mp3,['Buried Alive'],3
71,71,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 01 - Clarity.mp3,['Clarity'],3
0,0,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Parallels.mp3,['Parallels'],1
1,1,['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Lord Abortion.mp3,['Lord Abortion'],1
2,2,['A Day To Remember'],/home/dhanush/Music/MusicClassify/anger/The Danger In Starting A Fire.mp3,['The Danger In Starting A Fire'],1
3,3,['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Last To Know.mp3,['Last To Know'],1
4,4,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Anger And Apathy.mp3,['Anger And Apathy'],1
5,5,['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/Hand of Blood.mp3,['Hand of Blood'],1
6,6,['Skillet'],/home/dhanush/Music/MusicClassify/anger/Skillet - Hero.mp3,['Hero'],1
7,7,['Evanescence'],/home/dhanush/Music/MusicClassify/anger/03 The Change.mp3,['The Change'],1
8,8,['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/Cries in Vain.mp3,['Cries in Vain'],1
9,9,['Ice Cube'],/home/dhanush/Music/MusicClassify/anger/Ice Cube - Too West Coast (ft. WC & Maylay).mp3,['Too West Coast (ft. WC & Maylay)'],1
10,10,['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Punch Me I Bleed.mp3,['Punch Me I Bleed'],1
11,11,['Avenged Sevenfold'],"/home/dhanush/Music/MusicClassify/anger/I Won't See You Tonight, Pt. 2.mp3","[""I Won't See You Tonight, Pt. 2""]",1
12,12,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Unholy Confessions.mp3,['Unholy Confessions'],1
13,13,['Children Of Bodom'],/home/dhanush/Music/MusicClassify/anger/In Your Face.mp3,['In Your Face'],1
14,14,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Clairvoyant Disease.mp3,['Clairvoyant Disease'],1
15,15,['Cradle Of Filth'],/home/dhanush/Music/MusicClassify/anger/Hallowed Be Thy Name.mp3,['Hallowed Be Thy Name'],1
16,16,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/And All Things Will End.mp3,['And All Things Will End'],1
17,17,['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Oops!..I did it Again.mp3,['Oops I Did It Again!'],1
18,18,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Eternal Rest.mp3,['Eternal Rest'],1
19,19,['Eminem'],/home/dhanush/Music/MusicClassify/anger/06-eminem-going_through_changes.mp3,['Going Through Changes'],1
20,20,['Pendulum'],/home/dhanush/Music/MusicClassify/anger/03 Watercolour.mp3,['Watercolour'],1
21,21,['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/Sink Or Swim.mp3,['Sink or Swim'],1
22,22,['50 Cent'],/home/dhanush/Music/MusicClassify/anger/05 - Shooting Guns (www.SongsLover.com).mp3,['Shooting Guns'],1
23,23,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Desecrate Through Reverance.mp3,['Desecrate Through Reverance'],1
24,24,['Cradle Of Filth'],/home/dhanush/Music/MusicClassify/anger/Nymphetamine.mp3,['Nymphetamine'],1
25,25,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Condemned.mp3,['Condemned'],1
26,26,['Skillet'],/home/dhanush/Music/MusicClassify/anger/Skillet - Monster.mp3,['Monster'],1
27,27,['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Her Ghost in the Fog.mp3,['Her Ghost in the Fog'],1
28,28,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Beast and the Harlot.mp3,['Beast and the Harlot'],1
