,title,artist,paths,emotion
0,['One Way Street'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/02 One Way Street.mp3,2
1,['One More Night'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/01 - One More Night (www.SongsLover.pk).mp3,2
2,"[""Knockin' On Heaven's Door""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/05.Knockin' On Heaven's Door.mp3,2
3,['Summer Paradise'],['Simple Plan'],/home/dhanush/Music/MusicClassify/happy/08-Summer Paradise (Feat. K'naan).mp3,2
4,['Turn Up the Love'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/04 Turn Up the Love (www.SongsLover.com).mp3,2
5,['Never Leave'],['DVBBS'],/home/dhanush/Music/MusicClassify/happy/DVBBS - Never Leave (Official Music Video).mp3,2
6,['Outside ft. Ellie Goulding (Savagez Remix)'],['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Outside ft. Ellie Goulding (Savagez Remix).mp3,2
7,['Wild Woman'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/12 Wild Woman.mp3,2
8,['No Money'],['Galantis'],/home/dhanush/Music/MusicClassify/happy/Galantis – No Money (Original Mix).mp3,2
9,['Never Been To Spain'],['Jessica Hart'],/home/dhanush/Music/MusicClassify/happy/Jessica Hart - Never Been To Spain.mp3,2
10,['Steal Your Heart (Culture Code Remix)'],['BRKLYN'],/home/dhanush/Music/MusicClassify/happy/BRKLYN - Steal Your Heart (Culture Code Remix).mp3,2
11,"[""Until You're Over Me""]",['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Until You're Over Me.mp3,2
12,['Cold Water (feat. Justin Bieber & MØ)'],['Major Lazer'],/home/dhanush/Music/MusicClassify/happy/Cold Water (feat. Justin Bieber & MØ).mp3,2
13,['Where Them Girls At - Feat. Flo Rida & Nicki Minaj'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Where Them Girls At (feat. Flo Rida and Nicki Minaj).mp3,2
14,['Forbidden Voices'],['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Forbidden Voices.mp3,2
15,['Love'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/08 Love.mp3,2
16,['Shoot To Thrill'],['AC/DC'],/home/dhanush/Music/MusicClassify/happy/Shoot To Thrill.mp3,2
17,['Feel You'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Feel You.mp3,2
18,['I Wanna Know (feat. Nico & Vin'],['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - I Wanna Know (feat. Nico & Vinz).mp3,2
19,"[""I'm An Albatraoz""]",['Aron Chupa'],/home/dhanush/Music/MusicClassify/happy/Aron Chupa - Im An Albatraoz.mp3,2
20,['Undone'],['Jane XØ x Dannic'],/home/dhanush/Music/MusicClassify/happy/Jane XØ x Dannic - Undone.mp3,2
21,['I Can Only Imagine'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/I Can Only Imagine (feat. Chris Brown and Lil Wayne).mp3,2
22,"[""Sweet Child O' Mine""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/02.Sweet Child O' Mine.mp3,2
23,['Sex'],['Cheat Codes & Kriss Kross Amsterdam'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Kriss Kross Amsterdam - Sex (Edit).mp3,2
24,['Turn Me On'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Turn Me On (feat. Nicki Minaj).mp3,2
25,['Back In Black'],['ACDC'],/home/dhanush/Music/MusicClassify/happy/Back In Black.mp3,2
26,['Moves Like Jagger (Feat. Christina Aguilera)'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Moves Like Jagger (feat. Christina Aguilera).mp3,2
27,['Ghost'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/10 Ghost.mp3,2
28,['Close (feat. Molly Ann)'],['IZECOLD'],/home/dhanush/Music/MusicClassify/happy/IZECOLD - Close (feat. Molly Ann).mp3,2
29,['Every Tear Drop Is A Waterfall'],['Coldplay'],/home/dhanush/Music/MusicClassify/happy/Every Tear Drop Is A Waterfall.mp3,2
30,['Five More Hours'],['Deorro & Chris Brown'],/home/dhanush/Music/MusicClassify/happy/Deorro X Chris Brown - Five More Hours.mp3,2
31,['Angel Eyes'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/01 Angel Eyes.mp3,2
32,['Summer (Club Killers & Dropwizz Trap Remix)'],['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Summer (Club Killers & Dropwizz Trap Remix).mp3,2
33,['Sleepwalker (feat. Joni Fatora)'],['Illenium'],/home/dhanush/Music/MusicClassify/happy/Illenium - Sleepwalker (feat. Joni Fatora).mp3,2
34,['A Dream'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - A Dream.mp3,2
35,['SummerThing! (feat. Mike Taylor)'],['Afrojack'],/home/dhanush/Music/MusicClassify/happy/Afrojack Ft. Mike Taylor - SummerThing!.mp3,2
36,['Adventure Of A Lifetime'],['Coldplay'],/home/dhanush/Music/MusicClassify/happy/05. Adventure Of A Lifetime.mp3,2
37,['Whole Heart'],['Gryffin and Bipolar Sunshine'],/home/dhanush/Music/MusicClassify/happy/Gryffin and Bipolar Sunshine - Whole Heart.mp3,2
38,['Set Me Free (feat. LIZ)'],['Diplo'],/home/dhanush/Music/MusicClassify/happy/Diplo - Set Me Free (feat. LIZ) [pleer.com].mp3,2
39,['Nothing Really Matters'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Nothing Really Matters (feat. Will.i.am).mp3,2
40,['Welcome To The Jungle'],"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/01.Welcome To The Jungle.mp3,2
41,['Night Of Your Life'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Night Of Your Life (feat. Jennifer Hudson).mp3,2
42,['Like a G6'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/15 Like a G6 (www.SongsLover.com).mp3,2
43,['Firestone'],['Kygo'],/home/dhanush/Music/MusicClassify/happy/30. Kygo - Firestone (Feat. Conrad).mp3,2
44,['Highway To Hell'],['AC-DC'],/home/dhanush/Music/MusicClassify/happy/Highway To Hell.mp3,2
45,['Tickets'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/10 - Tickets (www.SongsLover.pk).mp3,2
46,['Paradise City'],"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/04.Paradise City.mp3,2
47,['Best Day of My Life'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/03 Best Day of My Life.mp3,2
48,"[""Now That I've Found You (feat. John & Michel)""]",['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Now That I've Found You (feat. John & Michel).mp3,2
49,['Ocean Eyes (GOLDHOUSE Remix)'],['Billie Eilish'],/home/dhanush/Music/MusicClassify/happy/Billie Eilish - Ocean Eyes (GOLDHOUSE Remix).mp3,2
50,['Hey (feat. Afrojack)'],['Fais'],/home/dhanush/Music/MusicClassify/happy/Fais - Hey (feat. Afrojack).mp3,2
51,['Ghosts'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Ghosts.mp3,2
52,"['Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix)']","['Dimitri Vegas, Moguai & Like Mike']","/home/dhanush/Music/MusicClassify/happy/Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix).mp3",2
53,['On & On'],['GOLDHOUSE'],/home/dhanush/Music/MusicClassify/happy/GOLDHOUSE - On & On.mp3,2
54,"['Hey, Soul Sister']",['Train'],"/home/dhanush/Music/MusicClassify/happy/02  Train - Hey, Soul Sister.mp3",2
55,['Never Wanna Leave (feat. Stevyn)'],['Dytone'],/home/dhanush/Music/MusicClassify/happy/Dytone - Never Wanna Leave (feat. Stevyn).mp3,2
56,"['Revolution (feat. Imanos, Faustix & Kai)']",['Diplo'],"/home/dhanush/Music/MusicClassify/happy/02 Revolution (feat. Imanos, Faustix & Kai).mp3",2
57,['Believer'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/01 Believer.mp3,2
58,['Rocketeer'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/16 Rocketeer (feat. Ryan Tedder) (www.SongsLover.com).mp3,2
