,artist,paths,title,emotion
0,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/02 One Way Street.mp3,['One Way Street'],2
1,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/01 - One More Night (www.SongsLover.pk).mp3,['One More Night'],2
2,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/05.Knockin' On Heaven's Door.mp3,"[""Knockin' On Heaven's Door""]",2
3,['Simple Plan'],/home/dhanush/Music/MusicClassify/happy/08-Summer Paradise (Feat. K'naan).mp3,['Summer Paradise'],2
4,['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/04 Turn Up the Love (www.SongsLover.com).mp3,['Turn Up the Love'],2
5,['DVBBS'],/home/dhanush/Music/MusicClassify/happy/DVBBS - Never Leave (Official Music Video).mp3,['Never Leave'],2
6,['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Outside ft. Ellie Goulding (Savagez Remix).mp3,['Outside ft. Ellie Goulding (Savagez Remix)'],2
7,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/12 Wild Woman.mp3,['Wild Woman'],2
8,['Galantis'],/home/dhanush/Music/MusicClassify/happy/Galantis – No Money (Original Mix).mp3,['No Money'],2
9,['Jessica Hart'],/home/dhanush/Music/MusicClassify/happy/Jessica Hart - Never Been To Spain.mp3,['Never Been To Spain'],2
10,['BRKLYN'],/home/dhanush/Music/MusicClassify/happy/BRKLYN - Steal Your Heart (Culture Code Remix).mp3,['Steal Your Heart (Culture Code Remix)'],2
11,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Until You're Over Me.mp3,"[""Until You're Over Me""]",2
12,['Major Lazer'],/home/dhanush/Music/MusicClassify/happy/Cold Water (feat. Justin Bieber & MØ).mp3,['Cold Water (feat. Justin Bieber & MØ)'],2
13,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Where Them Girls At (feat. Flo Rida and Nicki Minaj).mp3,['Where Them Girls At - Feat. Flo Rida & Nicki Minaj'],2
14,['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Forbidden Voices.mp3,['Forbidden Voices'],2
15,['American Authors'],/home/dhanush/Music/MusicClassify/happy/08 Love.mp3,['Love'],2
16,['AC/DC'],/home/dhanush/Music/MusicClassify/happy/Shoot To Thrill.mp3,['Shoot To Thrill'],2
17,['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Feel You.mp3,['Feel You'],2
18,['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - I Wanna Know (feat. Nico & Vinz).mp3,['I Wanna Know (feat. Nico & Vin'],2
19,['Aron Chupa'],/home/dhanush/Music/MusicClassify/happy/Aron Chupa - Im An Albatraoz.mp3,"[""I'm An Albatraoz""]",2
20,['Jane XØ x Dannic'],/home/dhanush/Music/MusicClassify/happy/Jane XØ x Dannic - Undone.mp3,['Undone'],2
21,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/I Can Only Imagine (feat. Chris Brown and Lil Wayne).mp3,['I Can Only Imagine'],2
22,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/02.Sweet Child O' Mine.mp3,"[""Sweet Child O' Mine""]",2
23,['Cheat Codes & Kriss Kross Amsterdam'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Kriss Kross Amsterdam - Sex (Edit).mp3,['Sex'],2
24,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Turn Me On (feat. Nicki Minaj).mp3,['Turn Me On'],2
25,['ACDC'],/home/dhanush/Music/MusicClassify/happy/Back In Black.mp3,['Back In Black'],2
26,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Moves Like Jagger (feat. Christina Aguilera).mp3,['Moves Like Jagger (Feat. Christina Aguilera)'],2
27,['American Authors'],/home/dhanush/Music/MusicClassify/happy/10 Ghost.mp3,['Ghost'],2
28,['IZECOLD'],/home/dhanush/Music/MusicClassify/happy/IZECOLD - Close (feat. Molly Ann).mp3,['Close (feat. Molly Ann)'],2
29,['Coldplay'],/home/dhanush/Music/MusicClassify/happy/Every Tear Drop Is A Waterfall.mp3,['Every Tear Drop Is A Waterfall'],2
30,['Deorro & Chris Brown'],/home/dhanush/Music/MusicClassify/happy/Deorro X Chris Brown - Five More Hours.mp3,['Five More Hours'],2
31,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/01 Angel Eyes.mp3,['Angel Eyes'],2
32,['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Summer (Club Killers & Dropwizz Trap Remix).mp3,['Summer (Club Killers & Dropwizz Trap Remix)'],2
33,['Illenium'],/home/dhanush/Music/MusicClassify/happy/Illenium - Sleepwalker (feat. Joni Fatora).mp3,['Sleepwalker (feat. Joni Fatora)'],2
34,['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - A Dream.mp3,['A Dream'],2
35,['Afrojack'],/home/dhanush/Music/MusicClassify/happy/Afrojack Ft. Mike Taylor - SummerThing!.mp3,['SummerThing! (feat. Mike Taylor)'],2
36,['Coldplay'],/home/dhanush/Music/MusicClassify/happy/05. Adventure Of A Lifetime.mp3,['Adventure Of A Lifetime'],2
37,['Gryffin and Bipolar Sunshine'],/home/dhanush/Music/MusicClassify/happy/Gryffin and Bipolar Sunshine - Whole Heart.mp3,['Whole Heart'],2
38,['Diplo'],/home/dhanush/Music/MusicClassify/happy/Diplo - Set Me Free (feat. LIZ) [pleer.com].mp3,['Set Me Free (feat. LIZ)'],2
39,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Nothing Really Matters (feat. Will.i.am).mp3,['Nothing Really Matters'],2
40,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/01.Welcome To The Jungle.mp3,['Welcome To The Jungle'],2
41,['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Night Of Your Life (feat. Jennifer Hudson).mp3,['Night Of Your Life'],2
42,['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/15 Like a G6 (www.SongsLover.com).mp3,['Like a G6'],2
43,['Kygo'],/home/dhanush/Music/MusicClassify/happy/30. Kygo - Firestone (Feat. Conrad).mp3,['Firestone'],2
44,['AC-DC'],/home/dhanush/Music/MusicClassify/happy/Highway To Hell.mp3,['Highway To Hell'],2
45,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/10 - Tickets (www.SongsLover.pk).mp3,['Tickets'],2
46,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/04.Paradise City.mp3,['Paradise City'],2
47,['American Authors'],/home/dhanush/Music/MusicClassify/happy/03 Best Day of My Life.mp3,['Best Day of My Life'],2
48,['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Now That I've Found You (feat. John & Michel).mp3,"[""Now That I've Found You (feat. John & Michel)""]",2
49,['Billie Eilish'],/home/dhanush/Music/MusicClassify/happy/Billie Eilish - Ocean Eyes (GOLDHOUSE Remix).mp3,['Ocean Eyes (GOLDHOUSE Remix)'],2
50,['Fais'],/home/dhanush/Music/MusicClassify/happy/Fais - Hey (feat. Afrojack).mp3,['Hey (feat. Afrojack)'],2
51,['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Ghosts.mp3,['Ghosts'],2
52,"['Dimitri Vegas, Moguai & Like Mike']","/home/dhanush/Music/MusicClassify/happy/Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix).mp3","['Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix)']",2
53,['GOLDHOUSE'],/home/dhanush/Music/MusicClassify/happy/GOLDHOUSE - On & On.mp3,['On & On'],2
54,['Train'],"/home/dhanush/Music/MusicClassify/happy/02  Train - Hey, Soul Sister.mp3","['Hey, Soul Sister']",2
55,['Dytone'],/home/dhanush/Music/MusicClassify/happy/Dytone - Never Wanna Leave (feat. Stevyn).mp3,['Never Wanna Leave (feat. Stevyn)'],2
56,['Diplo'],"/home/dhanush/Music/MusicClassify/happy/02 Revolution (feat. Imanos, Faustix & Kai).mp3","['Revolution (feat. Imanos, Faustix & Kai)']",2
57,['American Authors'],/home/dhanush/Music/MusicClassify/happy/01 Believer.mp3,['Believer'],2
58,['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/16 Rocketeer (feat. Ryan Tedder) (www.SongsLover.com).mp3,['Rocketeer'],2
59,['Calvin Harris & Disciples'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris & Disciples - How Deep Is Your Love (T-Mass & Ellusive Remix).mp3,['How Deep Is Your Love (T-Mass & Ellusive Remix)'],2
60,['Cheat Codes & Dante Klein [mp3-crazy.com]'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Dante Klein - Let Me Hold You (Turn Me On) (Original Mix) [pesnik.su].mp3,['Let Me Hold You (Turn Me On)'],2
61,['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - Take My Breath Away.mp3,['Take My Breath Away'],2
62,['Hardwell & Jason Derulo'],/home/dhanush/Music/MusicClassify/happy/Hardwell & Jason Derulo - Follow Me.mp3,['Follow Me'],2
63,['Far East Movement feat. The Cataracs'],/home/dhanush/Music/MusicClassify/happy/far east movement feat.The cataracs-Like a g6.mp3,['Like A G6'],2
64,['John Mayer'],/home/dhanush/Music/MusicClassify/happy/John Mayer - Heavier Things - 02 - Bigger Than My Body.mp3,['Bigger Than My Body'],2
65,['Illenium'],/home/dhanush/Music/MusicClassify/happy/01 Reverie (feat. King Deco).mp3,['Reverie (feat. King Deco)'],2
66,['Flo Rida'],/home/dhanush/Music/MusicClassify/happy/Flo Rida - GDFR (ft. Sage The Gemini and Lookas).mp3,"['GFDR (feat. Sage, The Gemini and Lookas)']",2
67,['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Misery.mp3,['Misery'],2
68,['Avicii Ft. Zac Brown Band'],/home/dhanush/Music/MusicClassify/happy/Avicii Ft. Zac Brown Band - Broken Arrows .mp3,['Broken Arrows (CDQ)'],2
69,['Michael Learns to Rock'],/home/dhanush/Music/MusicClassify/happy/07 Someday.mp3,['Someday'],2
