,artist,paths,title,emotion
0,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/07 - Stop This Train.mp3,['Stop This Train'],3
1,['Blue'],/home/dhanush/Music/MusicClassify/sadness/You know u make me wanna!.mp3,['You Make Me Wanna'],3
2,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Yellow.mp3,['Yellow'],3
3,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Must Get Out.mp3,['Must Get Out'],3
4,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/She Will Be Loved.mp3,['She Will Be Loved'],3
5,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Better That We Break.mp3,['Better That We Break'],3
6,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith_ Amazing.mp3,['Amazing'],3
7,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Calling Out Your Name.mp3,['Calling Out Your Name'],3
8,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/12. Miracles.mp3,['Miracles'],3
9,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/04 Who Says.mp3,['Who Says'],3
10,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Coldplay - Fix You.mp3,['Fix You'],3
11,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/05 Nothing To Lose.mp3,['Nothing To Lose'],3
12,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 05 - Come Back To Bed.mp3,['Come Back To Bed'],3
13,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 10 - Wheel.mp3,['Wheel'],3
14,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/15 Paint My Love.mp3,['Paint My Love'],3
15,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Janie's got a gun.mp3,"[""Janie's got a gun""]",3
16,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith_ Angle.mp3,['Angle'],3
17,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/17 I'm Gonna Be Around.mp3,"[""I'm Gonna Be Around""]",3
18,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/The Hardest Part.mp3,['The Hardest Part'],3
19,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/1973.mp3,['1973'],3
20,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/08 War Of My Life.mp3,['War Of My Life'],3
21,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/sadness/08.Don't Cry (Original).mp3,"[""Don't Cry (Original)""]",3
22,['Michael Learns to Rock'],/home/dhanush/Music/MusicClassify/sadness/09 25 Minutes.mp3,['25 Minutes'],3
23,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/06 - Love Somebody (www.SongsLover.pk).mp3,['Love Somebody'],3
24,['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/drowning.mp3,['drowning'],3
25,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/01 Heartbreak Warfare.mp3,['Heartbreak Warfare'],3
26,['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/Backstreet Boys - This Is Us.mp3,['This Is Us'],3
27,['Eagles'],/home/dhanush/Music/MusicClassify/sadness/076 Lyin_ Eyes.mp3,"[""Lyin' Eyes""]",3
28,['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/show me the meaning of beeing lonely.mp3,['Show Me The Meaning Of Being L'],3
29,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/02 All We Ever Do Is Say Goodbye.mp3,['All We Ever Do Is Say Goodbye'],3
30,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/04 The Actor.mp3,['The Actor'],3
31,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/04. Everglow.mp3,['Everglow'],3
32,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Trouble.mp3,['Trouble'],3
33,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/12 - I'm Gonna Find Another You.mp3,"[""I'm Gonna Find Another You""]",3
