,acousticness,danceability,energy,instrumentalness,key,livenepathsss,loudness,mode,speechiness,tempo,time_signature
0,0.000882,0.646,0.832,0.000251,7,0.138,-7.682,1,0.0309,121.003,4
1,0.0563,0.71,0.8,0.0,5,0.0834,-3.439,0,0.0339,93.01,4
2,0.0204,0.486,0.744,0.00298,6,0.112,-7.176,1,0.0404,132.446,4
3,0.0132,0.421,0.822,0.0,2,0.092,-4.415,1,0.0542,171.935,4
4,0.176,0.752,0.883,0.0,6,0.204,-4.042,1,0.131,123.871,4
5,0.0183,0.575,0.88,0.0,0,0.379,-1.861,1,0.0579,127.882,4
6,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
7,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
8,0.0282,0.671,0.916,0.00762,6,0.24,-4.014,0,0.0397,126.01,4
9,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
10,0.0613,0.337,0.552,0.0,0,0.183,-5.508,0,0.0387,137.031,4
11,0.0267,0.802,0.806,0.0,5,0.071,-2.779,1,0.0636,140.017,4
12,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
13,0.0292,0.662,0.873,0.0,0,0.224,-3.116,0,0.0395,129.902,4
14,0.05,0.534,0.711,0.0031,10,0.135,-5.927,0,0.0368,128.102,4
15,0.0038,0.63,0.753,0.0,1,0.191,-4.621,0,0.0305,123.964,4
16,0.000239,0.457,0.904,0.0879,2,0.396,-5.303,1,0.0747,141.038,4
17,0.13,0.793,0.775,0.0,6,0.0945,-4.33,0,0.0351,125.003,4
18,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
19,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
20,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
21,0.0553,0.67,0.935,0.0,9,0.412,-2.038,1,0.0435,127.952,4
22,0.141,0.449,0.901,0.0675,6,0.128,-7.711,1,0.0526,125.148,4
23,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
24,0.0666,0.703,0.786,0.0,8,0.553,-2.243,1,0.0561,127.954,4
25,0.011,0.31,0.7,0.00965,9,0.0828,-5.678,1,0.047,188.386,4
26,0.0125,0.724,0.761,0.0,11,0.36,-4.158,0,0.0463,128.038,4
27,0.037,0.667,0.877,0.0,0,0.326,-4.116,1,0.0372,101.999,4
28,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
29,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
30,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
31,0.00115,0.636,0.734,0.00033,10,0.0923,-8.946,1,0.0311,124.016,4
32,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999
33,0.0552,0.449,0.76,1.44e-05,10,0.118,-7.531,1,0.116,159.777,4
34,0.0633,0.641,0.794,0.0,8,0.0913,-6.0,0,0.321,124.983,4
