,id
0,0zrX5Q2EP72NkIdKI9OeDJ
1,4XNrMwGx1SqP01sqkGTDmo
2,32V8SrHZnYzZu7V47L2jgK
3,6kcuYyyU2tPxGP3PDVWYJT
4,2R0eIBJGHpiv1nKbSzW4zq
5,1h0Rz2RTFMB3An6y5lHG0t
6,9999
7,9999
8,0gb1J5UrTpzaU1s3nupgCd
9,9999
10,3Qc88IgLW3TrzCnt8sjagL
11,4Mhatx7wvuAO3s8LvbzXXi
12,9999
13,3djPwpsQAnp8B8gC81e7fk
14,2BF1X5nkYYSb0AUTRaGkDm
15,1DvWCkpWOCyYWCre45bZdg
16,0C80GCp0mMuBzLf3EAXqxv
17,1NWOSHR90dVWtotQs1XmLn
18,9999
19,9999
20,9999
21,4jFCBvb2LZbPuL21MxwJpd
22,4MhTFsyqIJnjsOweVcU8ug
23,9999
24,0zlD8JjDsFUUmofqPE83Cj
25,08mG3Y1vljYA6bvDt4Wqkj
26,6rgPr77z1PvXS1iSkYjR6A
27,6cDJ7MHHipBaGUrq6U9TZB
28,9999
29,9999
30,9999
31,3tfH4HSjugpsGobbndrmfq
32,9999
33,31V5jMVim1N30V9GKgl7hH
34,1hUd4nvkNp5FhbStqsS1gO
35,9999
36,69uxyAqqPIsUyTO8txoP2M
37,9999
38,9999
39,0moNSmROMyKNBZV8shPMe6
40,5NIPsWpDjJTFBoPxCUUeXp
41,3zP8rBChGU6S4IZtcLNQzn
42,4DvhkX2ic4zWkQeWMwQ2qf
43,1I8tHoNBFTuoJAlh4hfVVE
44,2zYzyRzz6pRmhPzyfMEC8s
45,24QIrV8FsMKIPCjwmDkEyw
46,5Q41NLTmGbVPozwHKK7bk2
47,5Hroj5K7vLpIG4FNCRIjbP
48,7wZorJD5loL9ceLJ67sg6S
49,1JbuC7uZm0P1PyX7N7gDEM
50,9999
51,1Rpj9CZE7cGSXUCfiBf0eA
52,9999
53,0VlMFsRaVYjPSDDPKop7Kq
54,0KpfYajJVVGgQ32Dby7e9i
55,9999
56,7aaeZpSr54XQKSwMYO5JeH
57,64ybTt8CKxPdeXBNnu08Op
58,45sDIKapDyxPl307QpEAwl
59,9999
60,9999
61,2U1uiiXgExCpPr4GhLGJMv
62,9999
63,9999
64,0Jh9EBGN205Yc7JN2zZ2f1
65,5xBw4KxEiFQwJ27U1Woy9l
66,9999
67,6KBYk8OFtod7brGuZ3Y67q
68,9999
69,0w3ijrVQ2Q4U0guO2WhKaE
70,3E6iea9uEmB7gRru4lyP6h
71,9999
72,3AJwUDP919kvQ9QcozQPxg
73,7xlIrLvCs7digqxVI3LKMM
74,7sapKrjDij2fpDVj0GxP66
75,1EQoBUXD7EApSye8jmJTTg
76,6beFuzSjwhOKFZp2aqYDdY
77,69VYglVYGswPUs4P6m7n0N
78,1byIZa6CFerX5WXShwqAvf
79,0HLWvLKQWpFdPhgk6ym58n
80,7LVHVU3tWfcxj5aiPFEW4Q
81,18xQYPx62DwnjtOzS6zs1Z
82,1wU7z5XE8oa66ZvUlYAKfK
83,2Jr39bnXx3WOUmdlI4S00f
84,523iOSL6R2OomhVMGcfxdy
85,5fMwvrqujbQjUxcNPcYrUF
86,9999
87,4vnpFLqkM9NjXwm8SNmMZD
88,4Tw9JYF9HOuPRyccNWMgwf
89,1BV0m40U0M4t1SLIsDnwZl
90,1Jc3tGa11ITNgph0yewlqn
91,2N2yrmodOnVF10mKvItC9P
92,5MJlssbwUUXlGSBvIJnFab
93,0HnaqUxvHP5LaWdmWwJpiS
94,0AiTIiCQ15NW8QHQwSxKuR
95,4gs07VlJST4bdxGbBsXVue
96,4eFiL1kZWXqacJhdhrsONv
97,5lQKRR3MdJLtAwNBiT8Cq0
98,9999
99,5DydMbw2U5Oh1OckJIsniN
100,7prFpeH9fXA7cL6ZZWLePs
101,5qfZRNjt2TkHEL12r3sDEU
102,0R8P9KfGJCDULmlEoBagcO
103,0bYDebBlQxsDR4hCgbbpOW
104,7BgGj9choLPeJJOflkaAhB
105,0r7cTSkmHkSuNJH2pCqbUf
106,6zaKzSQwWtxqAvBvoubEWo
107,62FOsBpnZXEoPc1Qo9hcap
108,6gxycjJNMgmAyfzUXBN80P
109,2jdAk8ATWIL3dwT47XpRfu
110,5ElhEl1tkaDZBglzN5XKZg
111,1UvGv4XWZrVDrxbGKJfA0p
112,64i1dyG9Td5z5Q0TCG17Pb
113,4JehYebiI9JE8sR8MisGVb
114,689rf7CrI1hu6EqA7CBDrY
115,5MxNLUsfh7uzROypsoO5qe
116,0vg4WnUWvze6pBOJDTq99k
117,5gbxzSqABThINGDb7vIiwe
